name,birth_date,death_date
Kerron Speid,1972-05-24,None
Mohammed Bennis,1948-11-09,None
James Mallory (jurist),1916-02-05,2003-06-23
Miloš Milošević,1972-05-10,None
Tony Tammaro,1961-01-07,None
Dandy Sakano,1967-01-16,None
Amr Samaka,1983-05-22,None
Gerard Mathieu Joseph Georges Leman,1851-01-08,1920-10-17
Frederick Skinnard,1902-03-08,1984-08-05
Tyson Clabo,1981-10-17,None
Shin Hyun joon,1968-10-28,None
Gary Hallgren,1945-10-28,None
Ralph Wright,1908-05-17,1983-12-31
Tom Bolton,1962-05-06,None
Tomasz Nowak,1985-10-30,None
Murry Dickson,1916-08-21,1989-09-21
"Tremayne Rodd, 3rd Baron Rennell",1935-06-28,2006-12-09
Tod Sloan (baseball),1890-12-24,1956-09-12
Dennis Milton,1961-08-23,None
James Pulteney,1755-11-09,1811-04-26
Junius Matthews,1890-06-12,1978-01-18
George Blewett,1873-12-09,1912-08-09
Ana Nikolić,1978-09-27,None
Carlos Joseph,1980-07-14,None
Marcus Pedersen,1990-06-08,None
Mike Brown,1959-03-04,None
André Sá,1977-05-06,None
Antonino Calderone,1935-10-24,2013-01-10
Erroll Collins,1906-04-15,1991-03-11
Vincent Cafaro,1933-08-27,None
Louis Manna,1929-12-02,None
Robert Georgio Enrico,1931-04-13,2001-02-23
Braguinha,1907-03-29,2006-12-24
John Richard Hyde,1912-11-15,2003-07-15
François Léotard,1942-03-26,None
Jaidon Codrington,1984-06-05,None
Paul Bonhomme,1964-09-22,None
Matt Godfrey,1981-01-16,None
Howard Nathan,1972-01-21,2019-07-28
John Hugh Catherwood,1888-08-07,1930-11-18
Wayne Wheeler,1869-11-10,1927-09-05
BJ Flores,1979-01-29,None
Eugene Robinson,1954-03-12,None
Sophie Traub,1989-11-09,None
The Sick Leaves,1979-01-15,None
Dave Mlicki,1968-06-08,None
Mike Brumley,1963-04-09,None
Harold Thomas Herbert,1922-06-17,2003-07-25
Apostolos Nikolaidis (singer),1938-06-30,1999-04-22
Jansen Spencer,1981-05-25,None
Amy Shields,1990-03-07,None
Mike Brumley (catcher),1938-07-10,2016-08-08
Walter Rand,1919-05-31,1995-01-06
Charles Cawetzka,1877-03-01,1927-10-23
Greg Berg,1960-11-26,None
Mehmet Kutay Şenyıl,1987-03-06,None
Umut Güzelsesאומיט גונזאלס,1987-05-15,None
Angela Catterns,1953-09-30,None
Osman Kürşat Duman,1987-03-13,None
Ivan Jević,1975-07-23,None
Alper Balaban,1987-08-01,2010-04-12
John Cheruiyot Korir,1981-12-13,None
Geneviève Guitel,1895-05-24,1982-07-30
Michael Novales,1985-04-13,None
Johann Wilhelm,1530-03-11,1573-03-02
Cesca Chenevix Trench Sadhbh Trinseach,1891-02-03,1918-10-03
Josephus S. Cecil,1878-01-11,1940-08-20
Rene Verneau,1852-04-25,1938-01-07
Maiara Walsh,1988-02-18,None
Ernest Brown,1979-05-17,None
Con Martin,1923-03-20,2013-02-24
Mary Ellen Avery,1927-05-06,2011-12-04
Vishwambhar Dayalu Tripathi,1899-10-05,1959-11-18
Emily Bacon,1891-02-10,1972-11-09
Arshak Ter Gukasov,1819-11-09,None
David Hambartsumyan,1956-06-24,1992-01-11
John Keith McBroom Laird,1907-01-12,1985-11-12
Charlie Paynter,1879-07-28,1970-12-01
Hal Brown,1924-12-11,2015-12-17
Paul Rowe,1917-01-25,1990-08-28
Lucian Boia,1944-02-01,None
Dan Greenberg,1965-12-09,None
Shigeyasu Suzuki,1886-09-01,1957-06-11
Owen Gleiberman,1959-02-24,None
Alexander Davidovich Goldfarb,1947-05-23,None
Jon Fratelli,1979-03-04,None
Glenn van Straatum,1959-01-26,None
Melville Bell Grosvenor,1901-11-26,1982-04-22
Gerald Early,1952-04-21,None
Adrianne Frost,1978-10-16,None
Aluspah Brewah,1983-08-24,None
Kabba Samura,1981-10-26,None
Brad Cloepfil,1956-11-09,None
Seaborn Reese,1846-11-28,1846-11-28
Dominic Furio,1981-06-04,None
William Jaggard,1568-11-09,None
Bryan Randall,1983-08-16,None
Will Conroy,1982-12-08,None
Billy De Wolfe,1907-02-18,1974-03-05
Sean McHugh,1982-05-27,None
Samuel Rutherford (Georgia politician),1870-03-15,1932-02-04
Sampson Willis Harris,1809-02-23,1857-04-01
Kenneth Sivertsen,1961-01-16,2006-12-24
Dale Layer,1958-05-16,None
Henry W Ragas,1891-01-01,1919-02-18
Mark Ettles,1966-10-30,None
Owain Yeoman,1978-07-02,None
Bridget A Pastoor,1940-04-13,None
George Manwaring,1854-03-19,1889-07-07
"Elizabeth Douglas-Hamilton, Duchess of Hamilton",1916-05-25,2008-09-16
