name,birth_date,death_date
Nookala Chinna Satyanarayana,1923-08-04,2013-07-11
John Gaw Meem,1894-11-17,1983-08-04
Thomas C. Latimore,1890-06-28,1941-07-09
Thomas W Jones,1808-01-09,1891-11-07
Damon Evans,1949-11-24,None
Berlinda Tolbert,1949-11-04,None
Maria Valtorta,1897-03-14,1961-10-12
Sebastian Horsley,1962-08-08,2010-06-17
Maximos IV Sayegh,1878-04-10,1967-11-05
Archibald Ackroyd,1897-05-18,1968-06-25
James Bell (Medal of Honor),1845-07-01,1901-06-01
Jodie Meeks,1987-08-21,None
Chris Sacca,1975-05-12,None
R-Kal Truluck,1974-09-30,2019-11-29
Mouse Davis,1932-09-06,None
Charles Bell,1935-06-11,1995-04-01
Clarence M. Condon,1875-08-12,1916-07-20
Johnny Mauro,1910-10-25,2003-01-23
Emily Rooney,1950-01-17,None
Frank Okam,1985-10-16,None
Franklin J. Phillips,1874-10-20,1900-07-16
Hiroshi Kume,1944-07-14,None
Denise Dittrich,1957-08-06,None
Chloe Hunter,1976-08-26,None
Karl Leister,1937-06-15,None
Kitty White,1923-07-07,2009-08-11
Mohamed Suffian Mohamed Hashim,1917-11-12,2000-09-26
Adrian Scarborough,1968-05-10,None
Robert Dafford,1951-05-14,None
Mickey Weston,1961-03-26,None
Laxman Singh,1908-03-07,1989-06-06
Ghanshyam Tiwari,1947-12-19,None
Raqesh Vashisht,1978-09-01,None
Tokuyoshi Kawashima,1973-02-08,1973-02-08
Isaac Steinberg,1888-07-13,1957-01-02
Yū Mizushima,1956-01-18,None
William Henry Fleming,1856-10-18,1944-06-09
Abd al-Ghani al-Nabulsi,1641-03-19,1731-03-05
Mansoor al-Jamri,1961-12-17,None
Masaaki Endoh,1967-08-28,None
Hiram Parks Bell,1827-01-19,1907-08-16
Alexander Roslin,1718-07-15,1793-07-05
Akira Kushida,1946-10-17,None
Bahram Aryana,1906-03-17,1985-06-21
Zhang Fengyi,1956-09-01,None
Kerry Ellis,1979-05-06,None
Professor Olaf Holtedahl,1885-06-24,1975-08-26
Suzanne Cloutier,1923-07-10,2003-12-02
José Nepomuceno,1893-05-15,1959-12-01
George Suri,1982-07-16,None
"Dennis Stevenson, Baron Stevenson of Coddenham",1945-07-19,None
Michael Adams,1845-08-13,1899-01-02
DJ Umek,1976-05-16,None
John Sebastian Helmcken,1824-06-05,1920-09-01
Tico,1982-05-13,None
William Winterbotham,1763-12-15,1829-03-31
The Lord Colwyn,1942-01-01,None
Andy Rogers,1986-08-25,None
Motti Kakoun,1972-11-16,None
Regan King,1980-10-02,None
Lord Uthwatt,1879-04-25,1949-04-24
Tapan Sinha,1924-10-02,2009-01-15
lang te ఆద భట ల న ర యణద స Ajjada Adibhatla Narayana Dasu,1864-08-31,1945-01-02
Lukeni lua Nimi,1380-11-09,1420-11-09
Manfred Binz,1965-09-22,None
Paul Hornschemeier,1977-10-27,None
Dan Wickline,1970-04-29,None
Grace Evelyn Gifford Plunkett,1888-03-04,1955-12-13
Thomas Chamney,1984-04-16,None
Jean Baptiste Du Halde,1674-02-01,1743-08-18
Dr Omar Davies,1947-05-28,None
Frank Rhodes (British Army officer),1850-04-09,1905-09-21
Jamie Brown,1977-03-31,None
Yves Rossy,1959-08-27,None
Paul Howe Shepard Jr,1925-06-12,1996-07-27
John P Ryan,1936-07-30,2007-03-20
Fernando Di Leo,1932-01-11,2003-12-09
Abram Belskie,1907-03-24,1988-11-07
Gabriele Cioffi,1975-09-07,None
Bastian Pastewka,1972-04-04,None
Đorđije Ćetković,1983-01-03,None
Iacopo Balestri,1975-06-21,None
Juan Vicente Lezcano,1937-04-05,2012-02-06
Oscar Brevi,1967-12-15,None
David McCurdy Baird,1920-07-28,2019-09-10
Lloyd Brown (baseball),1904-12-25,1974-01-14
Craig Logan,1969-04-22,None
Yi So yeon,1978-06-02,None
Ko San,1976-10-19,None
Steve Jones,1970-03-17,None
Santiago Llaver,1917-11-09,None
Ariel Zilber,1943-09-23,None
Peter Ehrlich,1933-03-25,2015-07-26
William Zion,1872-10-23,1919-03-25
Anton Schmid,1900-01-09,1942-04-13
Trevor Von Eeden,1959-07-24,None
Séamus Hegarty,1940-01-26,2019-09-20
Ingerid Vardund,1927-04-24,2006-12-25
Laurence Shurtliff,1945-04-19,2006-05-17
Frederick Keppel,1728-01-19,1777-12-27
Verena Peter,1954-11-09,None
Ruth Lyons,1905-10-04,1988-11-07
Riggs Stephenson,1898-01-05,1985-11-15
John Nyathi Pokela,1923-11-09,1985-06-30
Sir Narayan Ganesh Chandavarkar,1855-12-02,1923-05-14
Anaid Iplicjian,1935-10-24,None
Anja Jaenicke,1963-10-09,None
Heere Heeresma,1932-03-09,2011-06-26
Nigel Lamb,1956-08-17,None
Michael Tregor,1950-09-10,None
R. J. Cobbs,1982-07-26,None
Nathan Elder,1985-04-05,None
Evelyn Stone Bryan Johnson,1909-11-04,2012-05-10
Red Berry (wrestler),1906-11-20,1973-07-21
Danny Waltman,1981-09-19,None
Giovanni Frattini,1852-01-08,1925-07-21
Tomasz Ciesielski,1979-05-02,None
Tom Kneebone,1932-05-12,2003-11-15
Houston A. Baker Jr.,1943-03-22,None
Trevor Womble,1951-06-07,None
Solveig Fiske,1952-10-26,None
Eugene O'Callaghan,1888-01-07,1973-05-21
Carol Kidd,1945-10-19,None
Fabio Gallo,1970-09-11,None
Franklin Huddle,1943-05-09,None
Brooke Howard-Smith,1972-10-06,None
Sofiane Hanitser,1984-11-20,None
Bunei 武寧,1356-11-09,1406-11-09
Andrea Ardito,1977-01-08,None
John B. Conaway,1934-08-23,None
Patrick McKenna,1868-08-09,None
Kermit Lynch,1941-12-09,None
Larry C Napper,1947-11-27,None
Richard Owens,1840-01-04,None
Rhodri Meilir,1978-11-18,None
Enoch Bartlett,1779-11-09,1860-11-09
Stanley Tuemler Escudero,1942-11-09,None
Most Reverend Dr James Donnelly,1823-01-12,None
Rubye De Remer,1892-01-09,1984-03-17
Charles McNally,1787-11-09,None
John Bechdel,1964-08-23,None
Clay Sell,1967-04-28,None
Stanisław Ryniak,1915-11-21,2004-02-13
Most Reverend Dr Edward Kernan,1771-11-09,1844-02-20
James Murphy,1744-11-09,1824-11-19
Mike Rae,1951-07-26,None
Chester A. Kowal,1904-08-17,1966-09-28
Sergio Arias,1988-02-27,None
Jozef C Mazur,1897-03-17,1970-04-23
Hugh O Reilly,1724-11-09,1801-09-03
George Parris,1964-09-11,None
Jozef G Bakos,1891-09-23,1977-04-25
Camilla and Rebecca Rosso,1994-07-06,None
Willem Kalf,1619-11-09,1693-11-09
Sigmund Sobolewski,1923-05-11,2017-08-07
Most Reverend Daniel O Reilly,1699-11-09,1778-03-28
Gülşen Bubikoğlu,1954-12-05,None
Mutaib bin Abdulaziz,1931-11-09,2019-12-02
Bandar bin Abdulaziz,1923-11-09,2019-07-28
Bernard MacMahon,1680-11-09,1747-05-27
Mike Elwiss,1954-05-02,None
Hugh MacMahon,1660-11-09,1737-08-17
Mohamed Madihi,1979-02-15,None
Charo López,1943-10-28,None
Ana Monteagudo Ponce de Leon,1602-07-26,1686-01-10
Servando Bayo,1822-10-27,1884-05-18
Joe McMullen,1924-05-09,1983-09-09
no,1987-01-04,None
Daniel G. Birmingham,1968-05-26,None
Sultana Chand Bibi,1550-11-09,1599-11-09
Hugo Sinzheimer,1875-04-12,1945-09-16
Mette Jacobsen,1973-03-24,None
Gordon Canfield,1898-04-15,1972-06-20
G Malcom Trout,1896-03-07,1990-11-01
Heber MacMahon,1600-11-09,1650-09-09
James Sallis,1944-12-21,None
Rajnath Singh,1951-07-10,None
Benjamin Brain,1753-11-09,1794-04-08
Paul Meger,1929-02-17,2019-08-27
José Antonio Olvera,1986-03-04,None
Kevin Victor Anderson,1912-11-09,1999-10-14
Kostas Negrepontis,1897-11-09,1973-02-19
Alphonse Beau de Rochas,1815-04-09,1893-03-27
Pedro Balmaceda,1868-02-27,1889-06-01
Patrik Carnbäck,1968-02-01,None
Kleanthis Maropoulos,1919-11-09,1991-11-09
Bill Adams,1902-11-03,1963-03-15
Maurice Bourget,1907-10-20,1979-03-29
Charlotte Scott,1858-06-08,1931-11-10
Johnny Shepherd,1957-04-24,None
Cesária Évora,1941-08-27,2011-12-17
Hopkins Holsey,1779-08-25,1859-03-31
Aiko Asano,1969-03-02,None
Lucille Ricksen,1910-08-22,1925-03-13
Maung Aye,1938-12-25,None
Christian Gerling,1788-07-10,1864-01-15
Frank Charles McGee,1926-03-03,1999-04-04
John Joseph McGee,1845-08-06,1927-04-10
Song Yingxing,1587-11-09,1666-11-09
Hugh Richardson,1905-12-22,2000-12-03
Lyman C Draper,1815-09-04,1891-08-26
Hannah Jane Fox,1976-01-13,None
Paul Hodgson (rugby union),1982-04-25,None
Otto Mencke,1644-03-22,1707-01-18
John Sickels,1968-01-05,None
Roger Turner,1901-03-03,1993-10-29
Johann Wichmannshausen,1663-10-03,1727-01-17
Morne Morkel,1984-10-06,None
Barent Fabritius,1624-11-16,1673-10-20
Igor Glek,1961-11-07,None
Jon Purnell,1948-11-09,None
Alexander Hanson,1961-04-28,None
František Fadrhonc,1914-12-18,1981-10-09
Masazumi Inada,1896-08-27,1986-01-24
Karl Lauterbach,1963-02-21,None
Walter Wagner,1949-07-26,None
Edward Fidoe,1978-05-10,None
Joseph Bolduc,1847-06-22,1924-08-13
Cornelia Pieper,1959-02-04,None
Anthony Watmough,1983-07-10,None
Bashford Dean,1867-10-28,1928-12-06
Brian Kallman,1984-04-23,None
Harry Woods,1947-12-23,None
Terry Alvino,1984-06-15,None
Gareth Edds,1981-02-03,None
Nikola Kotkov,1938-12-09,1971-06-30
Sant Singh Maskeen ji,1934-11-09,None
Marc Bolton,1968-02-16,None
Joe Tillen,1986-12-15,None
Mohammad Rezā Lotfi,1947-01-01,2014-05-02
Lo Ta yu,1954-07-20,None
Kobayakawa Takakage,1533-11-09,1597-07-26
Louis Joseph Forget,1853-03-11,1911-04-07
Mitchell Clegg,1990-11-12,None
Jochen Horst,1961-09-07,None
Henri Dès,1940-12-14,None
Infanta Beatriz,1909-06-22,2002-11-22
Woodrow Sedlacek,1919-06-07,2004-07-19
Wayne Causey,1936-12-26,None
Job Dean Jessop,1926-12-04,2001-01-30
Mariano Chicho Frúmboli,1970-09-21,None
Patrick Kohlmann,1983-02-25,None
The Lord Ernle,1851-09-06,1937-07-01
Dwaram Venkataswamy Naidu,1893-11-08,1964-11-25
John de Jong,1977-03-08,None
Jean Michel Aulas,1949-03-22,None
Colin Richard Keppel,1862-12-03,1947-07-06
Roy Beerens,1987-12-22,None
Pirmin Schwegler,1987-03-09,None
James Michael Mike Jackson,1953-08-20,None
Nick Youngs,1959-12-15,None
Reg Sinclair,1925-03-06,2013-11-14
Fábio César Montezine,1979-02-24,None
Jerry Toppazzini,1931-07-29,2012-04-21
Zola Taylor,1938-03-17,2007-04-30
Willie Marshall (ice hockey),1931-12-01,None
Shane Jennings,1981-07-08,None
James Murray,1975-01-22,None
Duane Rupp,1938-03-29,None
Matt Ravlich,1938-07-12,None
Matteo Melara,1979-07-08,None
Neva Small,1952-11-17,None
May Louise Cowles,1892-09-25,1978-01-11
Geri Çipi,1976-02-28,None
Baayork Lee,1946-12-05,None
Jamahl Lolesi,1981-03-20,None
Salem Ludwig,1915-07-31,2007-04-01
Talal Al Bloushi,1986-05-22,None
Sef Vergoossen,1947-08-05,None
Doudou Diaw,1975-10-30,None
Badr bin Abdulaziz,1932-11-09,None
Edgard Loué,1983-12-27,None
Wesam Rizik,1981-02-05,None
Mohamed Saqr,1981-05-17,None
Abdulla Al Berik,1984-02-14,None
Luigi Vitale,1987-10-05,None
Donald Hings,1907-11-06,2004-02-25
Ali Nasser,1986-05-16,None
Abdulla Koni,1979-07-19,None
Jon McCarthy,1970-08-18,None
Magid Mohamed,1985-10-01,None
Yousef Ahmed,1988-10-14,None
Fateh Moudarresفاتح المدرس,1922-11-09,1999-11-09
Gregory V of Constantinople,1746-11-09,1821-04-22
Nikolaj Lie Kaas,1973-05-22,None
Majdi Siddiq,1985-09-03,None
James Kaiser,1929-11-09,None
Shawn Medved,1967-06-16,None
Dhirendra Nath Ganguly,1893-03-26,1978-11-18
Adel Lami,1985-11-13,None
J. B. Williamson,1956-12-18,None
Waleed Jassem,1986-08-02,None
Per Bäckman,1950-07-22,None
Tamara Grigsby,1974-11-19,2016-03-14
Nirad Mohapatra,1947-11-12,None
Juan Jacinto Muñoz Rengel,1974-01-16,None
Nawwaf bin Abdulaziz,1932-08-16,2015-09-29
Ida Craddock,1857-08-01,1902-10-16
Kolos Ferenc Vaszary,1832-02-12,1915-09-03
Ibrahim Al Ghanim,1983-06-27,None
Fawwaz bin Abdulaziz,1934-11-09,2008-07-19
Frank Maloney,1940-09-26,2020-03-30
Yevgeni Grishkovetz,1967-02-17,None
Kaya (Japanese musician),1980-07-17,None
David Grimes (American football),1986-12-31,None
Joe Silipo,1957-12-31,None
Alexandre Rodrigues,1983-05-21,None
Kenny Adeleke,1983-02-10,None
Charles P. Davis,1872-06-05,1943-05-28
Ned Locke,1919-12-25,1992-02-04
Bilal Mohammed,1986-06-02,None
Jimmy Cavallo,1927-03-14,2019-12-02
Bucky Williams,1906-12-15,2009-11-16
Percy Allen (footballer),1895-07-02,None
Naum Moiseyevich Korzhavin,1925-10-14,2018-06-22
Matthew Rush (footballer),1971-08-06,None
Cliff Norton,1918-03-21,2003-01-25
Josef Heiß,1963-06-13,None
Derald George Langham,1913-05-27,1991-05-10
William MacDonald,1924-06-17,2015-05-12
Choi Jae bong,1980-06-19,None
Axel Cédric Konan,1983-01-25,None
Qasem Burhan,1985-12-15,None
George Mueller (NASA),1918-07-16,2015-10-12
Dasya,0300-11-09,0300-11-09
Wifredo Ricart,1897-05-15,None
Younes Ali,1983-01-03,None
Sally Davies,1956-07-26,None
Abdulrahman Mesbeh,1984-01-07,None
Andrey,1983-11-09,None
Mesaad Al Hamad,1986-02-11,None
Karan Sharma,1981-10-26,None
John Millen,1804-11-09,1843-10-15
Nawaf Massalha,1943-11-26,None
William Yates,1921-09-15,2010-04-18
Mohammed Al Noobi,1981-05-10,None
Tash (rapper),1971-08-09,None
Khalifa Ayil,1984-03-01,None
Badar Al Maimani,1984-07-16,None
Hassan Mudhafar,1980-06-26,None
Charles Samuel Joelson,1916-01-27,1999-08-17
Gu Hongzhong,0937-11-09,0975-11-09
Laine Randjärv,1964-07-30,None
Jock Livingston,1920-05-03,1998-01-16
Oswald Taylor Brown,1916-10-11,2006-03-26
Martha Karua,1957-09-22,None
Darío Verón,1979-07-26,None
Chiquinho,1974-03-21,None
George N. Seger,1866-01-04,1940-08-26
Ahmed Hadid,1984-07-18,None
The Lord Bicester,1867-12-09,1956-02-17
Abby Travis,1969-11-10,None
Aziz Ben Askar,1976-03-30,None
Carlos Leeb,1968-07-18,None
Kris Chucko,1986-03-13,None
Jimmy Ruffell,1900-08-08,1989-09-06
Said Al Shoon,1983-08-28,None
Roger Hawken,1878-05-12,1947-10-18
William Coleman Anderson,1853-07-10,1902-09-08
I Wayne,1980-11-09,None
Nikola LjubičićНикола Љубичић,1916-04-04,2005-04-13
Amad Al Hosni,1984-07-18,None
Craig Richard Nelson,1947-09-17,None
Faith Salie,1971-04-14,None
Jennifer Armintrout,1980-07-15,None
Prasong Soonsiri,1927-08-11,None
Shalon Baker,1973-08-22,None
Ismail Al Ajmi,1984-06-09,None
Patricia Ann Tracey,1950-11-30,None
Regina Shotaro,1981-09-10,None
Stan Darling,1911-07-16,2004-04-11
Lynn Steen,1941-01-01,2015-06-21
Margaret Chapman,1940-11-18,2000-07-28
Mohammed Al Hinai,1984-07-19,None
Viktor Alksnis,1950-06-21,None
Samuel,1985-05-07,None
William Louis DeAndrea image,1996-11-09,1996-11-09
Kenny Carr,1955-08-15,None
Bobby Hollander,1929-04-20,2002-03-07
"Berkeley Moynihan, 1st Baron Moynihan",1865-09-02,1936-09-07
Steve Sheppard,1954-03-21,None
Daron Jones,1976-12-27,None
Moran Campbell,1925-08-31,2004-04-12
Julio César Falcioni,1956-07-20,None
Tate Armstrong,1955-10-05,None
Arthur F. Odlin,1860-04-25,1926-06-07
Ed DeChellis,1958-11-14,None
Bindeshwar Pathak,1943-04-02,None
William Ellery Sweet,1869-01-27,1942-05-09
Josu De Solaun,1981-10-27,None
Seán Keane,1961-08-23,None
Jon Rydberg,1977-10-07,None
Meinrad von Lauchert,1905-08-29,1987-12-04
Jim Standen,1935-05-30,None
David Nakayama,1978-08-15,None
Anthony Mandler,1973-04-18,None
Elaine,1982-11-01,None
Nine,1969-09-19,None
Gail Omvedt,1941-08-02,None
DJ Carl Blaze,1976-11-15,2006-12-23
Russ Lorenson,1963-07-05,None
Roméo Seka,1984-02-19,None
Art Gagné,1896-10-12,1988-10-05
Mads Laudrup,1989-02-09,None
Moussa Sanogo,1983-07-16,None
Nicolaj Agger,1988-10-23,None
Yoko Minamino,1967-06-23,None
Hal Winkler,1894-03-20,1956-05-29
Melissa Hernández,1980-02-04,None
Paul Haynes (ice hockey),1910-03-01,1989-05-12
Georges Mantha,1907-11-29,1990-01-25
Iñaki Egaña,1948-10-24,None
Don Grosso,1915-04-12,1985-05-14
Nōami 能阿弥,1397-11-09,1471-11-09
Ab DeMarco,1916-05-10,1989-05-26
Gerda Lundequist,1871-02-14,1959-10-23
Jim Conacher,1921-05-05,2020-04-09
Helena Molony,1883-01-15,1967-01-28
Wally Hergesheimer,1927-01-08,2014-09-27
Alimamy Sesay,1987-04-24,None
Ishant Sharma,1988-09-02,None
Robert Haugen,1942-06-26,2013-01-06
Philadelphia Jack O'Brien,1878-01-17,None
Marcelo Mattos,1984-02-10,None
Lena Constante,1909-06-18,2005-11-09
Hassan Zaher,1985-01-07,None
Sultan Al Touqi,1984-01-02,None
Al Milnar,1913-12-26,2005-06-30
Edward James Patten,1905-08-22,1994-09-17
Jim Kyle,1950-10-14,None
Majed Abu Sidu,1985-11-01,None
Paul Messier,1958-01-27,None
Fayiz Al Zoubi,1985-03-01,None
Darrell Whitmore,1968-11-18,None
Curtis S. Person Jr.,1934-11-27,2020-09-04
Jim Wohlford,1951-02-28,None
Drukpa Kunley,1455-11-09,None
Kristian Osvald Viderø,1906-05-27,1991-04-08
Bo Orlando,1966-04-03,None
George Aloysius Carrell,1803-06-13,1868-09-25
Eddie Colquhoun,1945-03-29,None
Edwin Manners,1855-03-06,1913-05-04
Peter Onorati,1953-05-16,None
Jaroslav Halák,1985-05-13,None
Clara Chou,1953-09-09,1953-09-09
David Eisenberg,1939-03-15,1939-03-15
Ville Sorvali,1980-04-13,None
Gaston Tong Sang,1949-08-07,None
Vince Goldsmith,1959-07-20,None
Kikutaro,1976-11-17,None
Hajime Tanabe,1885-02-03,1962-04-29
Sara Sommerfeld,1977-10-28,None
Keron Thomas,1975-11-09,2013-07-22
Reggie Barnes,1967-10-19,None
Mikhail Diterikhs,1874-05-17,1937-09-09
William Nigh,1881-10-12,1955-11-27
Gastón Arizaga,1974-05-08,None
William Miller,1957-01-03,2019-01-03
Jack Beaton,1914-01-02,1996-06-05
Gary Savage (cricketer),1978-06-12,None
Han Xianchu,1913-01-30,1986-10-03
Joan Sylvia Lyttle Birman,1927-05-30,None
Vladimír Mihálik,1987-01-29,None
Tryfon Tzanetis,1918-11-09,1998-11-09
Robert Adamson,1985-07-11,None
Qara Yusuf,1420-11-17,1420-11-17
Nick Herbert (physicist),1936-09-07,None
Munir Niazi,1928-04-09,2006-12-26
Terje Krokstad,1956-10-01,None
Gurgen Dalibaltayan,1926-06-05,2015-09-01
Alexei Smirnov (physicist),1951-10-16,None
Mike Matteucci,1971-12-27,None
Paul Mitchell,1981-08-26,None
Leon Crooks,1985-11-21,None
Jeff Dumas,1971-06-28,None
Felix Brawner Jr.,1934-07-04,None
Abdullah Hussain Haroon,1950-10-21,None
Eddie Gray (racing driver),1920-02-04,1969-10-25
Abdul Razzaq as Sawsa,1933-02-03,2016-03-10
Linda Arvidson,1884-07-12,1949-07-26
Pierre Delanoë,1918-12-16,2006-12-27
Alajos Stróbl,1856-06-21,1926-12-13
Nels Crutchfield,1911-07-12,1985-07-22
William Turner,1799-09-25,1872-07-13
Tarquinio Provini,1933-05-29,2005-01-06
William Shakespear,1878-10-29,1915-01-24
The Viscount Ward of Witley,1907-11-20,None
Ian Davidson,1950-09-08,None
Mark Crowe,1965-12-11,None
George Davis (editor),1906-02-04,1957-11-25
Mark McCracken,1960-08-01,None
The Lord Molson,1903-06-29,1991-10-13
Claudio Ferrarese,1978-09-07,None
George Cochrane Hazelton,1832-01-03,1922-09-04
Matheus Nachtergaele,1968-01-03,None
Luigi Martinelli,1970-09-02,None
Ian Lougher,1963-07-10,None
Edward Davies,1779-11-09,1853-05-17
né Nzinga a Nkuwu of the Kingdom of Kongo aka Kongo dia Ntotila in Kikongo,1470-11-09,1509-11-09
Edward Darlington,1795-09-17,1884-11-21
Anthony Hancock,1947-05-05,2012-06-11
Gerry Whiting Hazelton,1829-02-24,1920-09-29
William Darlington,1782-04-28,1863-04-23
Al Smith,1945-11-10,2002-08-07
Murray Oliver,1937-11-14,2014-11-23
Isaac Darlington,1781-12-13,1839-04-27
Wayne Carleton,1946-08-04,None
David Nosworthy,1967-12-25,None
Hector Marini,1957-01-27,None
Charles Allen Thomas,1900-02-15,1982-03-29
Dave Langevin,1954-05-15,None
Inuka,1990-12-26,2018-04-25
Len Thornson,1933-02-04,None
Michael Montelongo,1955-08-20,None
Meredith Deane,1989-08-09,None
Alain Chevrier,1961-04-23,None
Alec Cleland,1970-12-10,None
Felisha Legette Jack,1966-09-04,None
Ernie Gregory,1921-11-10,2012-01-21
John Hahn,1776-10-30,1823-02-26
Mirko Sandić,1942-05-09,2006-12-24
Samuel Henderson,1764-11-27,1841-11-17
Harold Sawyer,1920-03-21,2003-04-03
Plies,1976-07-01,None
Roger Davis,1762-10-02,1815-11-20
Bento Gonçalves da Silva,1788-09-23,1847-07-18
Pierre-Luc Brillant,1978-01-29,None
Bertram Eugene Warren,1902-06-28,1991-06-27
John Wurts,1792-08-13,1861-04-23
The Count Lippens,1943-05-09,None
Maurice Lippens (politician),1875-08-21,1956-07-12
Fabrício Souza,1980-01-04,None
Victor Ismael Sosa,1987-01-18,None
Abraham Verghese,1955-05-30,None
Tom Pyne,1935-01-31,2011-10-30
Andrew Beaumont,1790-01-24,1853-09-30
Anthony Villanueva,1945-03-18,2014-05-13
Walter Goffart,1934-02-22,None
Fred Toones,1906-01-05,1962-02-13
John Sissons,1945-09-30,None
Charles Augustus Barnitz,1780-09-11,1850-01-08
Antônio de Sousa Neto,1801-02-11,1866-07-02
Jorge Amado Nunes,1961-10-18,None
Gisle Fenne,1963-06-09,None
Lucienne N'Da,1965-07-06,None
José Villanueva,1913-03-19,1983-11-11
Sebastián Leto,1986-08-30,None
Peter Bennett,1946-06-24,None
Nahum M Sarna,1923-03-27,2005-06-23
Alasdair Allan,1971-05-06,None
Jasmin Ouschan,1986-10-01,None
Nirav Shah,1974-11-16,None
Anja Möllenbeck,1972-03-18,None
Santiago Biglieri,1986-02-11,None
Mustafah Muhammad,1973-10-19,None
Malaysia Vasudevan,1944-06-15,2011-02-20
Willis H. Downs,1866-09-09,None
Rodrigo Archubi,1985-06-06,None
Donald Fraser Callander,1918-07-22,1992-04-05
Ed Kea,1948-01-19,1999-08-31
Joseph Kane,1894-03-19,1975-08-25
John Henderson,1797-02-28,1857-09-15
Glaube Feitosa,1973-04-09,None
Denis Ovens,1957-07-01,None
Aoife Mulholland,1978-05-29,None
Ritch Shydner,1952-12-03,None
Gary L. Littrell,1944-10-26,None
Stacy Roest,1974-03-15,None
Jacqueline Gold post nominals country,1960-07-16,None
Deborah Eisenberg,1945-11-20,None
Tommy Taylor,1951-09-26,None
Paul Lacoste,1974-09-03,None
Terrence C Carson,1958-11-19,None
Sarah Kennedy,1948-01-27,None
Lillian Groag,1945-06-24,None
Carolyn Breuer,1969-07-04,None
Aram J. Pothier,1854-07-26,1928-02-04
Mohammad Saad,1968-12-14,None
Ibrahim Sekagya,1980-12-19,None
Kate Pace,1969-02-13,None
Gotfred Jensen,1872-11-20,1945-12-26
Frank C. High,1875-06-07,1966-12-13
Paul Roessler,1958-08-27,None
Cristian Tavio,1979-09-22,None
Pablo Sierra,1978-10-03,None
John Baxter Kinne,1877-12-03,1954-07-19
Unai,1977-01-20,None
Cyril IX Moghabghab,1855-10-29,1855-10-09
Javier Gandolfi,1980-12-05,None
Andrés Pérez,1980-09-05,None
James Nobel Landis,1899-08-15,1989-04-29
Volker Heine,1930-09-19,None
Bob Gruen,1945-11-09,None
Richard M. Longfellow,1867-06-24,1951-05-17
Jeremiah Northup,1816-11-09,1879-04-10
Keith Comstock,1955-12-23,None
Alan Peach,1890-10-06,1961-10-08
Alberto Fontana,1974-12-02,None
Stuart Milligan,1953-09-10,None
Sophie Devine,1989-09-01,None
George L Brown,1926-07-01,2006-03-31
Everett Kinstler,1926-08-05,2019-05-26
Giovanni Orfei,1976-01-31,None
Syed Manzur Elahi,1942-02-26,None
Javier Villarreal,1979-03-01,None
Sydney Lewis,1919-10-24,1999-03-12
Claudio de Sousa,1985-08-10,None
Danny Lopes,1982-08-06,None
Bodil Ipsen,1889-08-30,1964-11-26
Jason Rowe,1969-12-31,None
Don Medford,1917-11-26,2012-12-12
Liberty,1974-02-08,None
Lori Swanson,1966-12-16,None
Azita Ghanizada,1979-11-17,None
Jim Al-Khalili,1962-09-20,None
Ulay,1943-11-30,2020-03-02
Ronnie Brody,1918-11-06,1991-05-08
James Stuart Douglas,1867-11-09,None
Geoff Pike,1956-09-28,None
Nick Cullop (outfielder),1900-10-16,1978-12-08
